Patient	Gene	ENSG.ID	logFC	logCPM	F	PValue	FDR
P1	SEC23A	ENSG00000100934.15	0.035003855	8.323490015	0.302555236	0.587668348	0.721991598
P1	CASC8	ENSG00000246228.7	-0.506998737	-3.337048614	0.302543959	0.587675262	0.721991598
P1	AC079610.2	ENSG00000270659.1	-0.398966921	-2.647937566	0.302380356	0.587775597	0.722031566
P1	GRIK5	ENSG00000105737.10	0.233571444	-1.570833491	0.302311925	0.587817574	0.722031566
P1	WDR49	ENSG00000174776.12	0.167954363	-1.397435777	0.302229962	0.587867861	0.722031566
P1	PEMT	ENSG00000133027.18	-0.038774709	4.013401559	0.302221935	0.587872787	0.722031566
P1	WNT2	ENSG00000105989.10	0.140635631	2.534021716	0.30222163	0.587872974	0.722031566
P1	PSD2	ENSG00000146005.4	0.140514278	-0.711735826	0.301790382	0.588137712	0.722316128
P1	AKAP14	ENSG00000186471.13	0.352435108	-3.415414045	0.301625388	0.588239065	0.722379486
P1	GRAMD2A	ENSG00000175318.12	-0.111062699	-0.617287575	0.301585321	0.588263682	0.722379486
P1	AC131902.1	ENSG00000253369.3	-0.714046308	-3.313710583	0.301545006	0.588288455	0.722379486
P1	ANKAR	ENSG00000151687.15	0.050978103	4.664053217	0.301324176	0.588424188	0.72248355
P1	RAB11A	ENSG00000103769.10	-0.040221734	6.159736817	0.301299571	0.588439315	0.72248355
P1	AC005696.3	ENSG00000272911.1	-0.23489866	-1.993328733	0.301234708	0.588479198	0.722491931
P1	ABCC5	ENSG00000114770.17	0.0283135	5.595872824	0.300675436	0.588823313	0.722873804
P1	MYOC	ENSG00000034971.17	-0.397277705	-3.609770398	0.300460098	0.58895592	0.72298156
P1	USP28	ENSG00000048028.11	0.034238586	5.269204008	0.300425477	0.588977246	0.72298156
P1	TMEM68	ENSG00000167904.16	0.040972153	4.096826922	0.300205872	0.589112555	0.723107043
P1	SDK1	ENSG00000146555.20	0.137336239	0.65214919	0.30013555	0.589155898	0.723118069
P1	SLC16A2	ENSG00000147100.11	0.029693052	6.15040961	0.300083944	0.589187709	0.723118069
P1	AC011506.1	ENSG00000242411.2	0.393039519	-3.088225463	0.299725539	0.589408737	0.723287093
P1	TYSND1	ENSG00000156521.14	0.059032971	3.407881689	0.299711288	0.58941753	0.723287093
P1	ATOX1	ENSG00000177556.12	0.053659932	4.110487865	0.299699653	0.589424708	0.723287093
P1	CTRB2	ENSG00000168928.13	0.222515491	-2.184641602	0.299565833	0.589507284	0.72334781
P1	THAP7-AS1	ENSG00000230513.3	-0.105374817	-0.068948202	0.299434259	0.589588498	0.723406849
P1	AC008574.1	ENSG00000251293.1	0.249026035	-2.71245386	0.299332278	0.589651461	0.723439516
P1	PRPF38A	ENSG00000134748.13	0.081364604	1.331902145	0.29928392	0.589681322	0.723439516
P1	PPP1R32	ENSG00000162148.11	-0.141949869	-0.59426411	0.299208749	0.589727747	0.723455862
P1	AP001062.2	ENSG00000232969.1	-0.248558499	-2.713838983	0.299143115	0.589768288	0.723464988
P1	AL121895.2	ENSG00000278035.1	-0.434467673	-3.068807189	0.298957597	0.589882911	0.723564985
P1	AC036214.1	ENSG00000249328.3	0.222263937	-1.649982696	0.298742122	0.590016101	0.723662314
P1	PRKG1-AS1	ENSG00000236671.9	-0.082534153	0.96091308	0.298705126	0.590038975	0.723662314
P1	ARL6IP5	ENSG00000144746.7	0.063830637	6.71649565	0.298664007	0.590064402	0.723662314
P1	PRKCB	ENSG00000166501.14	-0.249531872	-2.536656243	0.298615013	0.5900947	0.723662314
P1	AP005264.1	ENSG00000267069.2	0.274520425	-2.824100638	0.298310735	0.590282941	0.723825944
P1	ANKRD2	ENSG00000165887.12	-0.20333318	-1.372108161	0.298292277	0.590294364	0.723825944
P1	USP12-AS2	ENSG00000230641.1	0.536606187	-3.676471877	0.297855239	0.590564967	0.724111452
P1	TBC1D13	ENSG00000107021.16	-0.034893933	5.240562088	0.29780924	0.590593464	0.724111452
P1	AC092966.1	ENSG00000232130.1	-0.343161922	-3.580337976	0.297747409	0.590631773	0.724117801
P1		ENSG00000289132.1	-0.245362083	-2.111508998	0.297555324	0.590750818	0.724189895
P1	PP2D1	ENSG00000183977.14	-0.069192431	1.928161374	0.297545598	0.590756847	0.724189895
P1	APC2	ENSG00000115266.12	0.061342623	3.636812678	0.297220714	0.590958312	0.724396235
P1	SF3A1	ENSG00000099995.19	0.043816415	6.215464129	0.297113561	0.591024791	0.724437094
P1	TPI1P2	ENSG00000230359.5	-0.131917854	-0.958283912	0.296753564	0.591248251	0.724670355
P1	MORC2-AS1	ENSG00000235989.4	0.170287758	-1.339910219	0.296604198	0.591341018	0.724704703
P1	AC098476.1	ENSG00000279017.1	-0.314366116	-3.273011395	0.296601666	0.591342591	0.724704703
P1	AC016582.1	ENSG00000225868.7	0.393710508	-3.600845417	0.29643858	0.591443916	0.724788238
P1	ARL2BP	ENSG00000102931.8	-0.106476281	0.737843269	0.296238683	0.59156816	0.724835163
P1	LINC01511	ENSG00000250584.4	-0.524378165	-3.557737813	0.296229823	0.591573668	0.724835163
P1	TTC5	ENSG00000136319.12	-0.045630249	4.934021411	0.296130944	0.591635147	0.724835163
P1	LINC01836	ENSG00000267530.4	-0.209191475	-1.127586689	0.296117607	0.59164344	0.724835163
P1	MORF4L1P5	ENSG00000231857.1	-0.217833076	-2.349752909	0.296110228	0.591648029	0.724835163
P1	HOXB-AS1	ENSG00000230148.8	0.09411975	0.808393377	0.295698313	0.591904296	0.725021923
P1	CLEC2L	ENSG00000236279.7	-0.246915406	-2.851540921	0.295697748	0.591904648	0.725021923
P1	AC046143.1	ENSG00000229334.1	0.079521372	1.024509631	0.295675487	0.591918504	0.725021923
P1	MSLNL	ENSG00000162006.9	0.504439543	-3.794822321	0.295651938	0.591933162	0.725021923
P1	PEX14	ENSG00000142655.13	0.033036761	5.62362876	0.295414173	0.592081206	0.725162613
P1	TRG-AS1	ENSG00000281103.3	-0.144689181	-0.498761357	0.295320062	0.592139825	0.72519377
P1	AC006511.5	ENSG00000284697.1	0.069451062	1.290004812	0.29519565	0.592217337	0.72524806
P1	ZNF112	ENSG00000062370.17	-0.063614019	2.39233285	0.295083315	0.592287343	0.725293151
P1	ANO10	ENSG00000160746.13	0.043470892	6.535614159	0.294976408	0.592353983	0.725334116
P1	ZBTB3	ENSG00000185670.9	0.068750692	2.867267818	0.294848728	0.592433591	0.725390956
P1	ANKRD24	ENSG00000089847.13	0.099182716	0.357584895	0.294372849	0.592730499	0.725693795
P1	ITPRIPL2	ENSG00000205730.7	-0.429405279	-3.113875286	0.29434589	0.592747329	0.725693795
P1	Z69706.1	ENSG00000268836.1	-0.360141711	-3.299813473	0.294084493	0.592910562	0.725852979
P1	AC025043.1	ENSG00000259595.1	0.168046918	-1.32927186	0.293814076	0.593079527	0.726019164
P1	ANKRD52	ENSG00000139645.11	0.033553483	7.3506836	0.293554475	0.59324183	0.726165161
P1		ENSG00000286686.1	-0.176423321	-1.233786348	0.29351704	0.593265241	0.726165161
P1	AC011330.3	ENSG00000284772.1	-0.243109389	-2.894655439	0.293329539	0.593382535	0.726268056
P1		ENSG00000289481.1	-0.489694027	-3.564653908	0.29316654	0.59348454	0.726352229
P1	AP2M1	ENSG00000161203.14	0.04563582	8.607665821	0.293015409	0.593579152	0.726427344
P1	TINAGL1	ENSG00000142910.16	0.066855771	1.095886727	0.292370538	0.593983212	0.726881136
P1	AC105383.1	ENSG00000250241.7	-0.178186764	-0.825605938	0.29220846	0.594084858	0.72696482
P1	ACER3	ENSG00000078124.13	-0.040283349	5.693169054	0.29206296	0.594176138	0.727035812
P1	AC027612.1	ENSG00000223703.1	-0.143646371	-0.686782999	0.291848245	0.594310894	0.727098958
P1	AL121900.2	ENSG00000284776.1	-0.143234865	-0.758733474	0.29179383	0.594345056	0.727098958
P1	GOLGA2P4	ENSG00000229608.1	-0.249591979	-2.440976936	0.291793539	0.594345238	0.727098958
P1	ZBTB39	ENSG00000166860.3	0.050454985	3.20885856	0.291768728	0.594360816	0.727098958
P1	FXYD7	ENSG00000221946.8	-0.25609122	-2.166876528	0.291676124	0.594418965	0.727101063
P1	TRPM2	ENSG00000142185.18	0.323871531	-3.037986243	0.29166003	0.594429072	0.727101063
P1	AL109615.2	ENSG00000231881.2	-0.135130485	-0.603952411	0.291543306	0.594502387	0.727137596
P1	KCNC4-AS1	ENSG00000224965.1	0.494170991	-4.019895467	0.291506549	0.594525478	0.727137596
P1	MCCD1P1	ENSG00000235963.1	-0.426586008	-3.353418285	0.291366406	0.594613534	0.727204599
P1	LINC01608	ENSG00000253877.6	0.461122105	-3.442205084	0.29127951	0.594668147	0.727230698
P1	KMO	ENSG00000117009.12	0.216502161	-1.237084875	0.291145278	0.594752532	0.727243633
P1	C2CD4D	ENSG00000225556.1	-0.301435313	-2.41287772	0.291121456	0.59476751	0.727243633
P1	SNTG1	ENSG00000147481.17	-0.172252445	0.128376556	0.291103903	0.594778547	0.727243633
P1		ENSG00000287879.1	-0.261686962	-2.121313577	0.290593269	0.595099817	0.727595748
P1	TMEM117	ENSG00000139173.10	-0.060382216	6.670865441	0.290459675	0.595183929	0.727657882
P1	BCKDHB	ENSG00000083123.15	0.061054872	7.301770805	0.29021581	0.595337534	0.727801187
P1	AC025048.2	ENSG00000267248.4	-0.072397126	1.291314873	0.290167864	0.595367744	0.727801187
P1	AC078778.2	ENSG00000258344.1	0.133727072	-0.596179313	0.290103337	0.595408406	0.727810186
P1	AC022101.1	ENSG00000250328.6	-0.266936216	-2.119133269	0.289987907	0.59548116	0.727822322
P1	YBX3	ENSG00000060138.13	-0.036650558	7.13949875	0.289981917	0.595484936	0.727822322
P1	AL390718.1	ENSG00000261817.1	0.174535183	-2.169727993	0.289882697	0.59554749	0.727834294
P1	AC104532.1	ENSG00000267314.1	0.303262736	-2.265977034	0.289859041	0.595562405	0.727834294
P1	Z97180.1	ENSG00000231686.1	0.206136391	-1.940851099	0.289737114	0.595639297	0.727834294
P1	FAM41C	ENSG00000230368.2	0.392699136	-3.843206185	0.289678581	0.595676218	0.727834294
P1	SGSM2	ENSG00000141258.13	-0.041130172	5.213012701	0.289660746	0.595687469	0.727834294
P1	STK31	ENSG00000196335.13	-0.353995729	-2.294737164	0.289649538	0.595694539	0.727834294
P1	AC006058.3	ENSG00000272121.1	0.212162819	-1.16823375	0.289462887	0.595812312	0.727937498
P1	AC023137.1	ENSG00000228950.1	-0.274377598	-2.951530717	0.289373393	0.595868799	0.727965817
P1		ENSG00000289637.1	-0.37567789	-3.473874201	0.289201766	0.595977157	0.728057501
P1	AL512413.1	ENSG00000272088.1	0.412275203	-2.95133998	0.288902595	0.596166142	0.728247664
P1	NPM1P39	ENSG00000225159.1	-0.335742106	-3.258702544	0.288844393	0.596202922	0.72825189
P1	LURAP1L	ENSG00000153714.6	0.051140584	5.201406594	0.288759222	0.596256755	0.728276944
P1	PTPN7	ENSG00000143851.16	-0.213331811	-2.070655306	0.288528506	0.596402631	0.728389131
P1	AC012400.1	ENSG00000253362.1	-0.542329123	-3.946800362	0.28850854	0.596415258	0.728389131
P1	TOB1-AS1	ENSG00000229980.5	-0.319547108	-2.747952884	0.288406615	0.59647973	0.728424678
P1	ZNF534	ENSG00000198633.11	0.277973899	-3.304975583	0.288357154	0.596511021	0.728424678
P1	ZGLP1	ENSG00000220201.7	-0.230763185	-2.383893348	0.288149064	0.596642707	0.728544779
P1	RPAP2	ENSG00000122484.9	-0.041136152	6.335481737	0.28767149	0.596945163	0.728833207
P1	AC092436.2	ENSG00000248545.3	-0.423232219	-3.810639242	0.287670786	0.596945609	0.728833207
P1	AC073359.1	ENSG00000243953.1	-0.2615383	-3.215591425	0.287569455	0.597009826	0.728870895
P1		ENSG00000287404.1	0.101076836	0.071373419	0.28699963	0.597371217	0.729239664
P1	NOL4L	ENSG00000197183.15	-0.051253986	4.457752905	0.286987977	0.597378612	0.729239664
P1	AP000911.3	ENSG00000255406.3	-0.552577818	-2.958872696	0.28660006	0.597624906	0.729499578
P1	CHRM4	ENSG00000180720.8	-0.207872822	-2.157401632	0.28649865	0.597689328	0.729537471
P1	SMARCE1P5	ENSG00000230793.1	-0.31973952	-2.689489104	0.286323336	0.597800735	0.729632706
P1	MIR369	ENSG00000199025.4	0.345436115	-3.410039996	0.286159732	0.597904739	0.729718895
P1	S100A16	ENSG00000188643.11	-0.037639233	7.042216242	0.286090744	0.597948607	0.729731685
P1		ENSG00000287683.1	-0.363041419	-3.694493223	0.285940372	0.598044249	0.729788438
P1	TACR3	ENSG00000169836.5	-0.348494239	-3.021280084	0.285912637	0.598061892	0.729788438
P1	AC010320.2	ENSG00000268015.1	0.10533724	0.249851533	0.285781432	0.598145375	0.72984956
P1	AL049712.1	ENSG00000228293.1	0.368036283	-3.51817166	0.285603664	0.598258525	0.729946872
P1	AC007834.1	ENSG00000249094.2	-0.462511527	-3.366805899	0.285483361	0.598335123	0.729999578
P1	CACNA1A	ENSG00000141837.22	0.036680765	5.628656382	0.285394814	0.598391516	0.730027629
P1	WBP2NL	ENSG00000183066.14	0.055041363	3.035277574	0.285270408	0.598470764	0.730074899
P1	AC096720.2	ENSG00000279464.1	0.120477795	-0.750985513	0.285225154	0.598499597	0.730074899
P1	AL022157.1	ENSG00000226310.2	-0.07183566	1.106326803	0.285176699	0.598530474	0.730074899
P1	ANAPC5	ENSG00000089053.13	-0.039692944	6.912516941	0.28506532	0.598601458	0.730090142
P1	STS	ENSG00000101846.9	-0.041631124	5.917719962	0.285029556	0.598624255	0.730090142
P1	SLC25A34-AS1	ENSG00000224459.2	0.352469654	-3.319639648	0.284946765	0.598677036	0.730090142
P1	AKR1C1	ENSG00000187134.14	-0.096903066	5.343546246	0.284920377	0.598693861	0.730090142
P1	CDHR4	ENSG00000187492.9	-0.540971481	-3.435519607	0.284866056	0.598728499	0.730090142
P1	MDGA2	ENSG00000139915.21	-0.144712969	-1.534488827	0.284842693	0.598743398	0.730090142
P1	HDLBP	ENSG00000115677.18	-0.037166987	10.17486015	0.284365154	0.599048103	0.730420939
P1	SLC25A32	ENSG00000164933.12	-0.271612074	-3.711575901	0.284221982	0.599139521	0.730482104
P1	AC027097.1	ENSG00000267040.7	-0.094013078	0.250030078	0.284181914	0.599165111	0.730482104
P1	ANKRD30B	ENSG00000180777.15	0.344324413	-0.762142667	0.284112683	0.599209332	0.730495267
P1	LINC01476	ENSG00000265313.7	-0.139515065	-0.870515748	0.283731193	0.599453128	0.730751719
P1	ATP2C2	ENSG00000064270.13	-0.063137457	1.578234722	0.283224003	0.599777583	0.731106462
P1	TMEM105	ENSG00000185332.8	-0.470842531	-3.553592452	0.283079149	0.599870317	0.731159712
P1	ZSWIM3	ENSG00000132801.7	-0.059125601	2.30745693	0.28305126	0.599888175	0.731159712
P1	ZHX1	ENSG00000165156.15	-0.11873049	-0.317675971	0.282972387	0.599938684	0.731180498
P1	NATD1	ENSG00000274180.1	0.061754588	4.878147266	0.282796603	0.600051287	0.731276956
P1		ENSG00000286733.1	0.441523211	-3.48061145	0.282659532	0.600139124	0.731343222
P1	ASMTL	ENSG00000169093.16	-0.096159032	0.029469256	0.282533878	0.600219667	0.731400594
P1	PLEKHN1	ENSG00000187583.11	0.083977481	1.255438598	0.282370859	0.600324197	0.731487186
P1	ZNF570	ENSG00000171827.11	0.045223214	3.097594973	0.282298712	0.600370471	0.731502788
P1	AC012593.1	ENSG00000226994.9	-0.266847146	-3.443290845	0.282190078	0.600440161	0.731503018
P1	AC009171.2	ENSG00000263105.1	0.261959359	-2.149623013	0.282155249	0.600462508	0.731503018
P1	AC093249.2	ENSG00000260167.1	0.094784779	0.250268266	0.282097975	0.60049926	0.731503018
P1	AC064871.1	ENSG00000224643.5	0.24298378	-2.499818001	0.282089753	0.600504537	0.731503018
P1	GALK2	ENSG00000156958.15	0.05154572	6.194343839	0.281959414	0.600588193	0.73156415
P1	AC092892.1	ENSG00000242770.2	0.334367029	-2.474827352	0.281430302	0.600928054	0.731937335
P1	PCNX3	ENSG00000197136.5	0.039801415	6.931783205	0.281151929	0.601107025	0.732114524
P1	DPH7	ENSG00000148399.13	-0.036902599	3.982371304	0.280600123	0.601462128	0.732470176
P1	CDRT15	ENSG00000223510.7	0.3409064	-2.632677813	0.280593671	0.601466283	0.732470176
P1	PTPRG-AS1	ENSG00000241472.7	-0.081289594	1.812501258	0.280541974	0.601499575	0.732470176
P1	FANCC	ENSG00000158169.13	-0.03016219	6.529952024	0.280467063	0.601547823	0.732484766
P1	LINC02193	ENSG00000260923.7	-0.166126871	-1.25317315	0.2803973	0.601592764	0.732484766
P1	IFFO1	ENSG00000010295.20	0.059691297	5.343486647	0.280367288	0.601612099	0.732484766
P1	LINC00534	ENSG00000253394.7	-0.185804043	-1.005947836	0.280289127	0.601662462	0.732505279
P1	AC133041.1	ENSG00000272710.2	0.211694263	-1.527973119	0.278919162	0.602546659	0.733539318
P1	KLHDC10	ENSG00000128607.14	-0.029394733	6.161091399	0.278869255	0.602578922	0.733539318
P1	C2orf83	ENSG00000042304.13	-0.406771529	-3.67185434	0.278738791	0.602663281	0.733601151
P1	AC097534.2	ENSG00000272870.4	-0.090605131	0.253127905	0.278642896	0.602725304	0.73363579
P1	PTS	ENSG00000150787.8	0.04656706	4.436370838	0.278493049	0.602822248	0.733712929
P1	AC000041.1	ENSG00000242156.1	-0.369648812	-3.95053867	0.278424301	0.602866737	0.733726217
P1	AC093274.1	ENSG00000249359.3	0.62002739	-3.948517537	0.278134948	0.603054061	0.733893766
P1	C9orf41-AS1	ENSG00000203321.2	-0.053363131	2.181955843	0.278107927	0.603071561	0.733893766
P1	AP003465.2	ENSG00000270131.1	0.710556936	-4.254428239	0.277987091	0.603149831	0.733924612
P1	CEBPA-AS1	ENSG00000267296.2	0.358199959	-2.981605942	0.277965114	0.603164069	0.733924612
P1	PKIB	ENSG00000135549.15	-0.109262906	-0.054135264	0.277652144	0.603366904	0.73413055
P1	DPY19L3	ENSG00000178904.19	0.030809545	6.286460561	0.27744108	0.603503777	0.73425621
P1	DVL3	ENSG00000161202.20	0.06332076	6.579109618	0.277384078	0.603540754	0.734260324
P1	PIP4K2C	ENSG00000166908.18	-0.049264817	4.000502619	0.27713549	0.603702068	0.734415697
P1	CHRDL2	ENSG00000054938.17	0.162461443	-1.635839128	0.277030001	0.60377055	0.734458126
P1	TRIQK	ENSG00000205133.12	-0.212876228	-2.067068296	0.276866803	0.60387653	0.734546162
P1	GOLPH3L	ENSG00000143457.11	0.033652729	4.836089605	0.276770613	0.603939013	0.734581283
P1	PABPN1L	ENSG00000205022.9	-0.36513499	-2.974993794	0.276665237	0.60400748	0.734623677
P1	RP1L1	ENSG00000183638.6	0.293037552	-2.923023694	0.276486155	0.604123875	0.734724356
P1	BCL2L14	ENSG00000121380.12	0.060770427	2.542438254	0.276368745	0.604200212	0.73477631
P1	TMEM175	ENSG00000127419.17	-0.035724043	4.52372678	0.276112315	0.60436701	0.734938261
P1	PTP4A2	ENSG00000184007.22	0.04679356	4.461724272	0.275854272	0.604534957	0.734976448
P1	ALOX12P2	ENSG00000262943.8	0.31588184	-2.823173519	0.27582995	0.604550792	0.734976448
P1	NOP53	ENSG00000105373.19	-0.058187875	5.946777259	0.275804655	0.604567262	0.734976448
P1	SLC38A6	ENSG00000139974.16	-0.057053688	6.432318263	0.275760039	0.604596313	0.734976448
P1	AC004052.1	ENSG00000251170.6	0.309876477	-3.565503333	0.275754274	0.604600068	0.734976448
P1	RPL3P2	ENSG00000227939.1	0.12656844	-0.606022158	0.275718527	0.604623347	0.734976448
P1	ANKRD46	ENSG00000186106.11	0.045532212	3.688113193	0.275702463	0.604633809	0.734976448
P1	NMNAT1	ENSG00000173614.14	0.056367774	2.792772126	0.275430872	0.604810746	0.73515064
P1	GRAMD2B	ENSG00000155324.10	-0.514541003	-3.695676768	0.275378978	0.604844566	0.735150864
P1	AC012322.1	ENSG00000261028.1	-0.469008534	-2.927467294	0.275113029	0.605017957	0.735320717
P1	AL118508.1	ENSG00000230387.5	0.334625138	-3.315951593	0.274759617	0.605248537	0.735560054
P1	AL590560.1	ENSG00000256029.6	-0.182296298	-1.099720387	0.274680089	0.60530045	0.735582243
P1	RPH3A	ENSG00000089169.15	-0.328413491	-2.821508322	0.274523189	0.605402898	0.735665836
P1	FAM92A	ENSG00000188343.14	-0.02935285	4.838650516	0.27429933	0.605549132	0.735802625
P1	URM1	ENSG00000167118.11	0.049147566	5.245678007	0.274200117	0.605613966	0.735840496
P1	TMEM267	ENSG00000151881.15	0.037241812	5.901038947	0.274049081	0.605712695	0.735919543
P1	SPOCK2	ENSG00000107742.14	-0.149053153	-0.731401207	0.273992838	0.605749468	0.735923312
P1		ENSG00000287979.1	0.151716687	-0.202329848	0.273858596	0.60583726	0.735989059
P1	MCEE	ENSG00000124370.11	-0.03467776	3.68170208	0.273756392	0.605904119	0.73602937
P1	C17orf80	ENSG00000141219.16	-0.052141103	3.482363768	0.273653104	0.605971703	0.736038434
P1	LINC02336	ENSG00000271395.2	-0.385112642	-3.420243022	0.27360015	0.606006357	0.736038434
P1	SSNA1	ENSG00000176101.12	-0.05074074	4.541956326	0.273590596	0.60601261	0.736038434
P1	APEX1	ENSG00000100823.12	-0.035179514	6.100773005	0.272999381	0.606399827	0.736467805
P1	AC089998.4	ENSG00000258170.1	-0.148154183	-0.648835461	0.272910911	0.606457817	0.736473111
P1	NPRL2	ENSG00000114388.14	-0.052147626	2.945172937	0.272883068	0.60647607	0.736473111
P1	AL161937.1	ENSG00000234698.1	-0.309963433	-2.760586486	0.272838505	0.606505286	0.736473111
P1	AC003035.1	ENSG00000212663.2	-0.491721463	-3.83937718	0.272535235	0.606704196	0.736673717
P1	MIR497HG	ENSG00000267532.5	0.466161819	-3.591423046	0.272447751	0.606761602	0.736679967
P1	AC007728.2	ENSG00000261644.3	0.135421047	-0.934470346	0.272424661	0.606776755	0.736679967
P1	SUN2	ENSG00000100242.16	-0.052200623	4.77698012	0.272188289	0.606931927	0.736827429
P1	LINC01583	ENSG00000259518.2	0.250973053	-2.232776193	0.271927989	0.607102907	0.736994064
P1	RPS23	ENSG00000186468.13	0.083043422	4.719669726	0.271470068	0.60740395	0.737318563
P1	AL117332.1	ENSG00000275457.1	-0.156821963	-1.206372583	0.271243577	0.607552968	0.737435277
P1	EN1	ENSG00000163064.7	-0.07787538	5.264410469	0.271221374	0.60756758	0.737435277
P1	ZBTB14	ENSG00000198081.11	0.056881313	2.883906875	0.27104114	0.607686227	0.737495134
P1	SAPCD2	ENSG00000186193.9	0.073413908	2.645659913	0.271016395	0.607702521	0.737495134
P1	NFE2L2	ENSG00000116044.16	0.029088831	7.528976635	0.270992696	0.607718126	0.737495134
P1	LINC00886	ENSG00000240875.6	0.057293313	3.364057726	0.27082547	0.607828268	0.737587842
P1	CCDC58	ENSG00000160124.9	0.04952564	3.19988115	0.27070717	0.607906211	0.737641469
P1	LINC02185	ENSG00000262097.3	-0.374347088	-3.279695116	0.270475851	0.608058681	0.737785517
P1	DVL1	ENSG00000107404.21	0.041174437	6.085432637	0.270115879	0.608296116	0.738032636
P1	PAPSS1	ENSG00000138801.9	-0.026380502	6.435389697	0.269899642	0.608438841	0.738136721
P1		ENSG00000287697.1	0.184917437	-1.972962625	0.269883575	0.608449449	0.738136721
P1	ABR	ENSG00000159842.16	-0.035915995	7.157801979	0.269642954	0.608608362	0.738288525
P1	AC004816.1	ENSG00000259153.3	0.542620096	-3.606866754	0.26955713	0.608665064	0.73831633
P1	LINC01967	ENSG00000235493.2	-0.414727775	-3.710067276	0.269381661	0.608781029	0.738416014
P1	PRDM5	ENSG00000138738.11	-0.049026343	6.491960448	0.269299695	0.608835216	0.738440759
P1	AC022417.1	ENSG00000279923.1	-0.141541191	-1.319805228	0.269034799	0.609010407	0.738575918
P1	CLDND2	ENSG00000160318.6	-0.314549257	-3.058443771	0.269029008	0.609014239	0.738575918
P1	AC008278.2	ENSG00000234022.1	-0.391730067	-3.833961162	0.268837779	0.60914078	0.738677169
P1	AL356056.1	ENSG00000229227.8	0.339857879	-3.116449931	0.268792841	0.609170525	0.738677169
P1	AC233280.1	ENSG00000229178.1	-0.27455888	-2.441181731	0.268749644	0.60919912	0.738677169
P1	LIPJ	ENSG00000204022.9	-0.272174788	-2.791545525	0.268551118	0.609330579	0.73879558
P1	ARHGEF1	ENSG00000076928.18	-0.034449915	5.87780564	0.268303809	0.609494427	0.738953247
P1	BAZ2B	ENSG00000123636.19	0.050371564	7.028442894	0.268230474	0.609543032	0.738971184
P1	ZFYVE19	ENSG00000166140.17	-0.059371684	3.465927028	0.267837288	0.609803771	0.739230701
P1	TRPC7	ENSG00000069018.19	0.206234161	-2.377566102	0.267791456	0.60983418	0.739230701
P1		ENSG00000285629.1	-0.236326414	-1.959352553	0.267717003	0.609883586	0.739230701
P1	TRIM44	ENSG00000166326.7	0.026210563	7.414894143	0.267703742	0.609892387	0.739230701
P1	PSMA2P1	ENSG00000254582.1	-0.275418777	-1.928059033	0.267643194	0.609932573	0.739238087
P1	MIR193A	ENSG00000207614.1	-0.258438343	-2.540197025	0.267592646	0.609966127	0.739238087
P1		ENSG00000289352.1	-0.402147813	-2.689727352	0.267535601	0.610003999	0.739242994
P1	N4BP2L2	ENSG00000244754.9	0.037531614	7.539137863	0.267404936	0.610090764	0.73930715
P1	CTF2P	ENSG00000230447.2	0.209470593	-2.351600501	0.267222466	0.610211976	0.739413038
P1		ENSG00000287316.1	-0.290923412	-2.307517087	0.266656529	0.610588255	0.7398028
P1	MYCT1	ENSG00000120279.7	0.420834935	-3.179941675	0.266636875	0.610601332	0.7398028
P1		ENSG00000286466.1	-0.336867386	-2.382683098	0.266481564	0.610704689	0.739887011
P1	LINC01392	ENSG00000233607.1	-0.243445803	-2.71123851	0.26635631	0.610788071	0.739947014
P1	LINC01049	ENSG00000234384.1	0.704120718	-2.6558083	0.267015543	0.610830576	0.739957491
P1	HSD3B7	ENSG00000099377.14	-0.062678489	3.280336676	0.266137963	0.610933486	0.740006201
P1		ENSG00000286408.1	0.203331886	-1.768420592	0.266130434	0.610938501	0.740006201
P1	TMEM17	ENSG00000186889.10	-0.068061955	1.547886284	0.265923764	0.611076212	0.740131986
P1	RPL3P7	ENSG00000225093.1	0.388855448	-3.385536315	0.265815882	0.611148124	0.740178067
P1	PRPF8	ENSG00000174231.17	-0.035635462	8.602578482	0.265674313	0.611242519	0.740251371
P1	AL355974.2	ENSG00000275830.3	0.172747418	-1.294097132	0.265296164	0.611494819	0.740515889
P1	TMEM158	ENSG00000249992.2	-0.078255409	4.297138668	0.265150833	0.611591844	0.740533301
P1	IMPA1P1	ENSG00000251521.2	-0.242000635	-2.588522616	0.265140685	0.611598621	0.740533301
P1	GASAL1	ENSG00000253669.4	-0.131468439	-0.458718354	0.26507236	0.611644248	0.740533301
P1	EPOR	ENSG00000187266.14	-0.063865844	1.502659974	0.265024626	0.61167613	0.740533301
P1	NSFL1C	ENSG00000088833.18	0.029988834	5.616128919	0.264994324	0.61169637	0.740533301
P1	ZAR1	ENSG00000182223.7	0.211945936	-2.241270715	0.264922149	0.611744586	0.740533301
P1	MYLK-AS1	ENSG00000239523.7	-0.047601199	3.388544282	0.264919473	0.611746374	0.740533301
P1	SRCAP	ENSG00000080603.17	0.05038277	2.568666548	0.264739734	0.611866484	0.740637676
P1	LINS1	ENSG00000140471.17	0.04424312	3.850153717	0.264433626	0.612071159	0.740765241
P1	HLA-K	ENSG00000230795.3	-0.091209951	0.476993824	0.264378664	0.612107926	0.740765241
P1	AC009533.2	ENSG00000255753.1	-0.363175228	-3.664300675	0.265492922	0.612119041	0.740765241
P1	PATE1	ENSG00000171053.10	-0.455545362	-3.98869531	0.264345143	0.612130351	0.740765241
