"clusterID"	"N"	"coord"	"gene.x"	"annotation"	"FDR"	"gene.y"	"ensemblID"	"chr"	"start"	"end"	"verdict"	"deltapsi"	"transcripts"	"Sample"
"5997"	"clu_18603_+"	7	"chr1:45013019-45013594"	"<i>UROD</i>"	"cryptic"	3.34e-15	"UROD"	"ENSG00000093010.13"	"chr1"	45013215	45013594	"annotated"	0	"ENST00000246337.8+ENST00000428106.1+ENST00000434478.5+ENST00000469548.5+ENST00000491773.5+ENST00000496439.1+ENST00000636293.1+ENST00000636836.1"	"MDS"
"5998"	"clu_18840_+"	6	"chr1:110018016-110019548"	"<i>AHCYL1</i>"	"cryptic"	0.0109	"AHCYL1"	"ENSG00000196696.12"	"chr1"	110018016	110019548	"annotated"	0	"ENST00000359172.3+ENST00000369799.9+ENST00000393614.8+ENST00000481423.1"	"MDS"
"5999"	"clu_1897_-"	6	"chr14:24145752-24146534"	"<i>PSME2</i>"	"annotated"	0.0279	"PSME2"	"ENSG00000135365.15"	"chr14"	24145752	24146208	"annotated"	0	"ENST00000560370.3"	"MDS"
"6000"	"clu_1897_-"	6	"chr14:24145752-24146534"	"<i>PSME2</i>"	"annotated"	0.0279	"PSME2"	"ENSG00000076382.16"	"chr14"	24145911	24146208	"annotated"	0	"ENST00000559613.1"	"MDS"
"6001"	"clu_18978_+"	7	"chr1:149532517-149539563"	"<i>NBPF19</i>"	"cryptic"	0.0388	"NBPF19"	"ENSG00000137801.10"	"chr1"	149532517	149539563	"novel annotated pair"	0	"ENST00000621744.4"	"MDS"
"6002"	"clu_19496_+"	6	"chr1:228147699-228148665"	"<i>GUK1</i>"	"cryptic"	0.0023	"GUK1"	"ENSG00000166441.12"	"chr1"	228148284	228148371	"annotated"	0	"ENST00000366723.5+ENST00000480056.2"	"MDS"
"6003"	"clu_19496_+"	6	"chr1:228147699-228148665"	"<i>GUK1</i>"	"cryptic"	0.0023	"GUK1"	"ENSG00000114867.20"	"chr1"	228148539	228148665	"annotated"	0	"ENST00000366722.5"	"MDS"
"6004"	"clu_19509_+"	5	"chr1:229271370-229295848"	"<i>RAB4A</i>"	"cryptic"	0.00317	"RAB4A"	"ENSG00000142327.12"	"chr1"	229295102	229295848	"cryptic_fiveprime"	0	"."	"MDS"
"6005"	"clu_19710_-"	5	"chr18:49783931-49787291"	"<i>ACAA2</i>"	"cryptic"	0.00206	"ACAA2"	"ENSG00000140464.19"	"chr18"	49783931	49787291	"novel annotated pair"	0	"ENST00000285093.14+ENST00000587994.5+ENST00000589432.5"	"MDS"
"6006"	"clu_20004_-"	13	"chr5:88823927-88887502"	"<i>MEF2C</i>"	"cryptic"	0.0319	"MEF2C"	"ENSG00000130159.13"	"chr5"	88823930	88887502	"annotated"	0	"ENST00000340208.9+ENST00000424173.6"	"MDS"
"6007"	"clu_20077_-"	10	"chr5:131159611-131165095"	"<i>HINT1</i>"	"cryptic"	0.00682	"HINT1"	"ENSG00000176444.18"	"chr5"	131159611	131160656	"annotated"	0	"ENST00000504202.1+ENST00000508495.5+ENST00000511475.5"	"MDS"
"6008"	"clu_20133_-"	4	"chr5:138555541-138567001"	"<i>HSPA9</i>"	"cryptic"	0.0436	"HSPA9"	"ENSG00000182446.13"	"chr5"	138561789	138567001	"novel annotated pair"	0	"ENST00000297185.7+ENST00000507097.5"	"MDS"
"6009"	"clu_20147_-"	9	"chr5:139388131-139389680"	"<i>MZB1</i>"	"cryptic"	0.0253	"MZB1"	"ENSG00000166598.14"	"chr5"	139388131	139389680	"annotated"	0	"ENST00000302125.8+ENST00000417694.6+ENST00000503351.1+ENST00000503481.5+ENST00000513389.1"	"MDS"
"6010"	"clu_20188_-"	8	"chr5:146140261-146144267"	"<i>LARS</i>"	"cryptic"	0.0246	"LARS"	"ENSG00000152234.15"	"chr5"	146143084	146144267	"novel annotated pair"	0	"ENST00000394434.6+ENST00000504323.5+ENST00000510191.5+ENST00000514104.5"	"MDS"
"6011"	"clu_20301_-"	5	"chr5:178149838-178153491"	"<i>NHP2</i>"	"cryptic"	3.81e-10	"NHP2"	"ENSG00000130066.16"	"chr5"	178149838	178153491	"annotated"	0	"ENST00000274606.7+ENST00000314397.8"	"MDS"
"6012"	"clu_20441_+"	3	"chr11:8684081-8684823"	"<i>RPL27A</i>"	"cryptic"	0.000175	"RPL27A"	"ENSG00000251562.7"	"chr11"	8684081	8684823	"annotated"	0	"ENST00000532359.5"	"MDS"
"6013"	"clu_20449_+"	4	"chr11:9431003-9434934"	"<i>IPO7</i>"	"cryptic"	0.0458	"IPO7"	"."	"chr11"	9431003	9434934	"novel annotated pair"	0	"ENST00000379719.7"	"MDS"
"6014"	"clu_20631_+"	13	"chr11:59143304-59148844"	"<i>FAM111A</i>"	"cryptic"	4.02e-05	"FAM111A"	"ENSG00000133265.10"	"chr11"	59143695	59148844	"cryptic_unanchored"	0	NA	"MDS"
"6015"	"clu_20824_+"	26	"chr11:66617057-66665856"	"<i>RBM4</i>"	"cryptic"	0.0141	"RBM4"	"ENSG00000152223.12"	"chr11"	66617057	66643450	"annotated"	0	"ENST00000412278.2+ENST00000421355.1"	"MDS"
"6016"	"clu_20844_+"	5	"chr11:67281952-67282435"	"<i>GRK2</i>"	"cryptic"	0.0372	"GRK2"	"ENSG00000160310.17"	"chr11"	67281952	67282435	"annotated"	0	"ENST00000308595.9+ENST00000526285.1+ENST00000527176.5+ENST00000532099.5"	"MDS"
"6017"	"clu_20949_+"	4	"chr11:72824122-72824734"	"<i>ATG16L2</i>"	"cryptic"	0.0221	"ATG16L2"	"ENSG00000135931.17"	"chr11"	72824122	72824347	"cryptic_threeprime"	0	"."	"MDS"
"6018"	"clu_21295_-"	10	"chr11:5226711-5234342"	"<i>HBB</i>"	"cryptic"	0.000533	"HBB"	"ENSG00000127995.16"	"chr11"	5226799	5226953	"cryptic_fiveprime"	0	"."	"MDS"
"6019"	"clu_21419_-"	11	"chr11:47172333-47175182"	"<i>ARFGAP2</i>"	"annotated"	0.0379	"ARFGAP2"	"ENSG00000129197.14"	"chr11"	47172333	47172710	"annotated"	0	"ENST00000525314.5"	"MDS"
"6020"	"clu_21419_-"	11	"chr11:47172333-47175182"	"<i>ARFGAP2</i>"	"annotated"	0.0379	"ARFGAP2"	"ENSG00000136731.12"	"chr11"	47172751	47173426	"annotated"	0	"ENST00000525314.5"	"MDS"
"6021"	"clu_21419_-"	11	"chr11:47172333-47175182"	"<i>ARFGAP2</i>"	"annotated"	0.0379	"ARFGAP2"	"ENSG00000136731.12"	"chr11"	47173482	47175015	"annotated"	0	"ENST00000395449.7+ENST00000524727.5+ENST00000524782.5+ENST00000525314.5+ENST00000525398.5+ENST00000527097.5+ENST00000528041.5+ENST00000528444.5+ENST00000529599.5"	"MDS"
"6022"	"clu_21419_-"	11	"chr11:47172333-47175182"	"<i>ARFGAP2</i>"	"annotated"	0.0379	"ARFGAP2"	"ENSG00000148840.10"	"chr11"	47173840	47175182	"annotated"	0	"ENST00000395449.7+ENST00000426335.6+ENST00000524782.5+ENST00000525314.5+ENST00000527097.5+ENST00000529439.5+ENST00000530596.5"	"MDS"
"6023"	"clu_21419_-"	11	"chr11:47172333-47175182"	"<i>ARFGAP2</i>"	"annotated"	0.0379	"ARFGAP2"	"ENSG00000148840.10"	"chr11"	47173882	47175015	"annotated"	0	"ENST00000524727.5+ENST00000525398.5+ENST00000528041.5"	"MDS"
"6024"	"clu_21673_-"	7	"chr11:66284966-66287598"	"<i>YIF1A</i>"	"cryptic"	0.0243	"YIF1A"	"ENSG00000143748.17"	"chr11"	66285572	66285701	"annotated"	0	"ENST00000431556.6"	"MDS"
"6025"	"clu_21835_-"	14	"chr11:93730447-93737064"	"<i>TAF1D</i>"	"cryptic"	0.0111	"TAF1D"	"ENSG00000162367.11"	"chr11"	93730712	93734625	"novel annotated pair"	0	"ENST00000393259.6+ENST00000526015.5+ENST00000529435.5+ENST00000540232.5+ENST00000546088.5"	"MDS"
"6026"	"clu_21835_-"	14	"chr11:93730447-93737064"	"<i>TAF1D</i>"	"cryptic"	0.0111	"TAF1D"	"ENSG00000162367.11"	"chr11"	93734660	93736290	"annotated"	0	"ENST00000393259.6"	"MDS"
"6027"	"clu_21951_-"	5	"chr11:123060211-123061120"	"<i>HSPA8</i>"	"annotated"	0.00122	"HSPA8"	"ENSG00000159023.19"	"chr11"	123060268	123061120	"annotated"	0	"ENST00000227378.7+ENST00000453788.6+ENST00000525463.5+ENST00000525624.5+ENST00000527387.5+ENST00000527983.5+ENST00000528292.5+ENST00000532167.5+ENST00000532182.5+ENST00000532636.5+ENST00000532780.5+ENST00000534567.5+ENST00000534624.5"	"MDS"
"6028"	"clu_21951_-"	5	"chr11:123060211-123061120"	"<i>HSPA8</i>"	"annotated"	0.00122	"HSPA8"	"ENSG00000159023.19"	"chr11"	123060675	123061120	"annotated"	0	"ENST00000525463.5"	"MDS"
"6029"	"clu_22025_+"	9	"chr6:7231907-7251423"	"<i>RREB1</i>"	"cryptic"	0.0494	"RREB1"	"."	"chr6"	7231907	7250691	"cryptic_threeprime"	0	"."	"MDS"
"6030"	"clu_22035_+"	7	"chr6:10723241-10725911"	"<i>TMEM14C</i>"	"cryptic"	1.48e-07	"TMEM14C"	"ENSG00000001167.14"	"chr6"	10725037	10725911	"cryptic_threeprime"	0	"."	"MDS"
"6031"	"clu_2213_-"	8	"chr14:92116229-92121642"	"<i>NDUFB1</i>"	"cryptic"	0.00601	"NDUFB1"	"ENSG00000135972.8"	"chr14"	92116229	92117514	"cryptic_fiveprime"	0	"."	"MDS"
"6032"	"clu_2213_-"	8	"chr14:92116229-92121642"	"<i>NDUFB1</i>"	"cryptic"	0.00601	"NDUFB1"	"ENSG00000135972.8"	"chr14"	92116229	92121642	"novel annotated pair"	0	"ENST00000329559.7+ENST00000553514.5+ENST00000605997.5+ENST00000617122.1"	"MDS"
"6033"	"clu_2224_-"	5	"chr14:94053127-94057822"	"<i>DDX24</i>"	"cryptic"	0.0448	"DDX24"	"ENSG00000185359.12"	"chr14"	94055184	94056050	"cryptic_fiveprime"	0	"."	"MDS"
"6034"	"clu_22590_+"	4	"chr6:135186020-135189791"	"<i>MYB</i>"	"cryptic"	0.000491	"MYB"	"ENSG00000185596.16"	"chr6"	135186020	135189791	"annotated"	0	"ENST00000316528.12+ENST00000339290.9+ENST00000341911.9+ENST00000367812.6+ENST00000367814.8+ENST00000420123.6+ENST00000430686.2+ENST00000438901.6+ENST00000442647.6+ENST00000463282.6+ENST00000524588.5+ENST00000525002.5+ENST00000525369.5+ENST00000525477.5+ENST00000525514.5+ENST00000525940.5+ENST00000526187.5+ENST00000526320.5+ENST00000526565.5+ENST00000526889.5+ENST00000527615.5+ENST00000528015.5+ENST00000528140.5+ENST00000528343.5+ENST00000528345.5+ENST00000528774.5+ENST00000529262.5+ENST00000529586.5+ENST00000531519.5+ENST00000531634.5+ENST00000531737.5+ENST00000531845.5+ENST00000533384.5+ENST00000533624.5+ENST00000533808.5+ENST00000533837.5+ENST00000534044.5+ENST00000534121.5+ENST00000616088.4+ENST00000618728.4"	"MDS"
"6035"	"clu_22763_-"	3	"chr15:34342050-34343020"	"<i>NOP10</i>"	"cryptic"	0.0202	"NOP10"	"ENSG00000164105.3"	"chr15"	34342111	34343020	"cryptic_threeprime"	0	"."	"MDS"
"6036"	"clu_23002_-"	11	"chr15:64366075-64381326"	"<i>AC087632.1</i>"	"cryptic"	0.0277	"AC087632.1"	"ENSG00000100243.20"	"chr15"	64376905	64380876	"cryptic_fiveprime"	0	"."	"MDS"
"6037"	"clu_23002_-"	11	"chr15:64366075-64381326"	"<i>AC087632.1</i>"	"cryptic"	0.0277	"AC087632.1"	"ENSG00000026751.16"	"chr15"	64379309	64380958	"cryptic_threeprime"	0	"."	"MDS"
"6038"	"clu_23002_-"	11	"chr15:64366075-64381326"	"<i>AC087632.1</i>"	"cryptic"	0.0277	"AC087632.1"	"ENSG00000234719.8"	"chr15"	64376905	64381326	"annotated"	0	"ENST00000300035.8+ENST00000558008.3+ENST00000559519.5+ENST00000625619.1+ENST00000634318.1+ENST00000634529.1+ENST00000635511.1"	"MDS"
"6039"	"clu_23002_-"	11	"chr15:64366075-64381326"	"<i>AC087632.1</i>"	"cryptic"	0.0277	"AC087632.1"	"ENSG00000234719.8"	"chr15"	64376928	64380958	"cryptic_threeprime"	0	"."	"MDS"
"6040"	"clu_23487_+"	8	"chr3:48440312-48443854"	"<i>TMA7</i>"	"cryptic"	0.000779	"TMA7"	"ENSG00000168003.16"	"chr3"	48440458	48443848	"novel annotated pair"	0	"ENST00000438607.2+ENST00000477624.1"	"MDS"
"6041"	"clu_23487_+"	8	"chr3:48440312-48443854"	"<i>TMA7</i>"	"cryptic"	0.000779	"TMA7"	"ENSG00000168003.16"	"chr3"	48440458	48443854	"cryptic_threeprime"	0	"."	"MDS"
"6042"	"clu_23614_+"	10	"chr3:57864716-57890041"	"<i>SLMAP</i>"	"cryptic"	0.0253	"SLMAP"	"ENSG00000133069.15"	"chr3"	57871698	57890041	"annotated"	0	"ENST00000295951.7+ENST00000295952.7+ENST00000428312.5+ENST00000465203.5"	"MDS"
"6043"	"clu_23844_+"	3	"chr3:149129940-149141017"	"<i>HPS3</i>"	"annotated"	0.0198	"HPS3"	"ENSG00000082996.19"	"chr3"	149129940	149140004	"annotated"	0	"ENST00000296051.6+ENST00000486530.1"	"MDS"
"6044"	"clu_24352_-"	12	"chr19:11343120-11346208"	"<i>TMEM205</i>"	"cryptic"	0.0234	"TMEM205"	"ENSG00000213983.11"	"chr19"	11343120	11345520	"annotated"	0	"ENST00000354882.9+ENST00000447337.5+ENST00000586590.5+ENST00000586956.5+ENST00000587948.5+ENST00000588560.5+ENST00000589555.5+ENST00000590482.5+ENST00000591677.5+ENST00000592952.5+ENST00000593256.6"	"MDS"
"6045"	"clu_24446_-"	3	"chr19:15380612-15397150"	"<i>AKAP8L</i>"	"cryptic"	0.0167	"AKAP8L"	"ENSG00000161638.10"	"chr19"	15382049	15397150	"annotated"	0	"ENST00000600065.5"	"MDS"
"6046"	"clu_24733_-"	9	"chr19:45409725-45416821"	"<i>ERCC1</i>"	"cryptic"	0.0058	"ERCC1"	"ENSG00000004700.15"	"chr19"	45414034	45416821	"novel annotated pair"	0	"ENST00000013807.9+ENST00000300853.7+ENST00000423698.6+ENST00000587888.5+ENST00000589165.5+ENST00000589381.5+ENST00000592083.5"	"MDS"
"6047"	"clu_2476_+"	5	"chr13:99238554-99314097"	"<i>UBAC2</i>"	"cryptic"	0.0225	"UBAC2"	"ENSG00000089127.12"	"chr13"	99238554	99243915	"cryptic_threeprime"	0	"."	"MDS"
"6048"	"clu_2476_+"	5	"chr13:99238554-99314097"	"<i>UBAC2</i>"	"cryptic"	0.0225	"UBAC2"	"ENSG00000089127.12"	"chr13"	99238554	99243832	"annotated"	0	"ENST00000403766.7+ENST00000457666.1+ENST00000468067.5+ENST00000473091.5"	"MDS"
"6049"	"clu_25588_-"	6	"chr6:53514497-53520778"	"<i>GCLC</i>"	"cryptic"	0.000255	"GCLC"	"ENSG00000244734.3"	"chr6"	53516217	53520778	"annotated"	0	"ENST00000505294.5"	"MDS"
"6050"	"clu_2606_+"	11	"chr19:1272051-1274314"	"<i>CIRBP</i>"	"cryptic"	0.022	"CIRBP"	"ENSG00000204525.16"	"chr19"	1272518	1274307	"cryptic_fiveprime"	0	"."	"MDS"
"6051"	"clu_2606_+"	11	"chr19:1272051-1274314"	"<i>CIRBP</i>"	"cryptic"	0.022	"CIRBP"	"ENSG00000204525.16"	"chr19"	1272523	1274307	"cryptic_fiveprime"	0	"."	"MDS"
"6052"	"clu_2606_+"	11	"chr19:1272051-1274314"	"<i>CIRBP</i>"	"cryptic"	0.022	"CIRBP"	"ENSG00000174851.15"	"chr19"	1272051	1273489	"cryptic_threeprime"	0	"."	"MDS"
"6053"	"clu_2606_+"	11	"chr19:1272051-1274314"	"<i>CIRBP</i>"	"cryptic"	0.022	"CIRBP"	"ENSG00000174851.15"	"chr19"	1272051	1272558	"cryptic_threeprime"	0	"."	"MDS"
"6054"	"clu_2606_+"	11	"chr19:1272051-1274314"	"<i>CIRBP</i>"	"cryptic"	0.022	"CIRBP"	"ENSG00000204525.16"	"chr19"	1272051	1274314	"cryptic_threeprime"	0	"."	"MDS"
"6055"	"clu_2606_+"	11	"chr19:1272051-1274314"	"<i>CIRBP</i>"	"cryptic"	0.022	"CIRBP"	"ENSG00000204525.16"	"chr19"	1272243	1272427	"cryptic_fiveprime"	0	"."	"MDS"
"6056"	"clu_26190_-"	4	"chrX:101375314-101390478"	"<i>BTK</i>"	"cryptic"	0.000483	"BTK"	"ENSG00000100918.12"	"chrX"	101375314	101375595	"cryptic_fiveprime"	0	"."	"MDS"
"6057"	"clu_26377_-"	6	"chrX:154786400-154805272"	"<i>MPP1</i>"	"annotated"	0.00559	"MPP1"	"ENSG00000211896.7"	"chrX"	154799893	154805272	"annotated"	0	"ENST00000413259.7+ENST00000417435.5"	"MDS"
"6058"	"clu_26615_-"	4	"chr16:18382035-18382426"	"<i>PKD1P5</i>"	"cryptic"	0.00181	"PKD1P5"	"ENSG00000165629.19"	"chr16"	18382176	18382426	"cryptic_threeprime"	0	"."	"MDS"
"6059"	"clu_2692_+"	4	"chr19:4950996-4954357"	"<i>UHRF1</i>"	"cryptic"	0.0275	"UHRF1"	"ENSG00000106799.12"	"chr19"	4950996	4951891	"cryptic_threeprime"	0	"."	"MDS"
"6060"	"clu_27332_-"	9	"chr7:44116510-44121834"	"<i>POLD2</i>"	"cryptic"	0.0319	"POLD2"	"ENSG00000168137.15"	"chr7"	44117247	44121834	"annotated"	0	"ENST00000223361.7+ENST00000406581.6+ENST00000433715.5+ENST00000436844.5+ENST00000452185.5+ENST00000463464.5+ENST00000470867.5+ENST00000610533.4"	"MDS"
"6061"	"clu_27589_-"	8	"chr7:100631052-100633001"	"<i>TFR2</i>"	"cryptic"	0.0227	"TFR2"	"ENSG00000163681.14"	"chr7"	100631945	100633001	"novel annotated pair"	0	"ENST00000223051.7+ENST00000462107.1+ENST00000473571.1+ENST00000476304.5+ENST00000490084.5"	"MDS"
"6062"	"clu_27798_-"	4	"chr7:151214191-151215604"	"<i>ABCF2</i>"	"cryptic"	0.0406	"ABCF2"	"ENSG00000138964.16"	"chr7"	151214191	151215604	"novel annotated pair"	0	"ENST00000222388.6+ENST00000287844.6"	"MDS"
"6063"	"clu_28042_+"	3	"chr2:55234204-55234888"	"<i>RPS27A</i>"	"cryptic"	0.0207	"RPS27A"	"ENSG00000105518.13"	"chr2"	55234561	55234831	"annotated"	0	"ENST00000468810.1"	"MDS"
"6064"	"clu_28042_+"	3	"chr2:55234204-55234888"	"<i>RPS27A</i>"	"cryptic"	0.0207	"RPS27A"	"ENSG00000105518.13"	"chr2"	55234204	55234831	"annotated"	0	"ENST00000272317.10+ENST00000402285.7+ENST00000404735.1+ENST00000449323.5+ENST00000478196.6"	"MDS"
"6065"	"clu_28042_+"	3	"chr2:55234204-55234888"	"<i>RPS27A</i>"	"cryptic"	0.0207	"RPS27A"	"ENSG00000105518.13"	"chr2"	55234204	55234888	"cryptic_threeprime"	0	"."	"MDS"
"6066"	"clu_28249_+"	5	"chr2:97194754-97211546"	"<i>ANKRD36</i>"	"cryptic"	0.00214	"ANKRD36"	"ENSG00000145901.14"	"chr2"	97194754	97211546	"novel annotated pair"	0	"ENST00000420699.6+ENST00000461153.6"	"MDS"
"6067"	"clu_28281_+"	6	"chr2:101006071-101023638"	"<i>RPL31</i>"	"cryptic"	8.61e-06	"RPL31"	"ENSG00000125107.17"	"chr2"	101006071	101017889	"annotated"	0	"ENST00000409650.5"	"MDS"
"6068"	"clu_28382_+"	5	"chr2:121755845-121761409"	"<i>TSN</i>"	"cryptic"	0.0205	"TSN"	"ENSG00000163374.19"	"chr2"	121758806	121761409	"annotated"	0	"ENST00000389682.7+ENST00000409193.1+ENST00000455432.5+ENST00000467324.5+ENST00000490104.5+ENST00000490717.5+ENST00000495112.1+ENST00000536142.5"	"MDS"
"6069"	"clu_28569_+"	4	"chr2:181529648-181531657"	"<i>ITGA4</i>"	"cryptic"	0.00304	"ITGA4"	"ENSG00000106263.17"	"chr2"	181529648	181531657	"novel annotated pair"	0	"ENST00000397033.6"	"MDS"
"6070"	"clu_28671_+"	5	"chr2:202292903-202297379"	"<i>NOP58</i>"	"cryptic"	0.000773	"NOP58"	"ENSG00000011454.16"	"chr2"	202295837	202297358	"cryptic_threeprime"	0	"."	"MDS"
"6071"	"clu_28683_+"	6	"chr2:203391143-203402576"	"<i>ABI2</i>"	"annotated"	0.00709	"ABI2"	"ENSG00000125971.16"	"chr2"	203395780	203402576	"annotated"	0	"ENST00000261016.10+ENST00000261017.9+ENST00000261018.11+ENST00000295851.9+ENST00000411547.5+ENST00000417864.5+ENST00000422511.6+ENST00000422719.5+ENST00000424558.5+ENST00000430418.5+ENST00000430574.5+ENST00000441061.5+ENST00000451591.6+ENST00000454023.1"	"MDS"
"6072"	"clu_29405_-"	6	"chr10:73743138-73744217"	"<i>.</i>"	"annotated"	5.25e-06	"."	"ENSG00000170515.13"	"chr10"	73743222	73744217	"unknown_strand"	0	NA	"MDS"
"6073"	"clu_29485_-"	5	"chr10:96651651-96656798"	"<i>PIK3AP1</i>"	"cryptic"	0.0404	"PIK3AP1"	"ENSG00000182923.16"	"chr10"	96652838	96656798	"cryptic_threeprime"	0	"."	"MDS"
"6074"	"clu_29588_-"	7	"chr10:103392466-103396409"	"<i>USMG5</i>"	"cryptic"	0.014	"USMG5"	"ENSG00000132481.6"	"chr10"	103392466	103396409	"annotated"	0	"ENST00000309579.7+ENST00000337003.4+ENST00000369815.5"	"MDS"
"6075"	"clu_2963_+"	7	"chr19:17859974-17862094"	"<i>RPL18A</i>"	"cryptic"	0.00754	"RPL18A"	"ENSG00000058272.16"	"chr19"	17861307	17861425	"annotated"	0	"ENST00000599898.5"	"MDS"
"6076"	"clu_3104_+"	6	"chr19:35155611-35157426"	"<i>FXYD5</i>"	"cryptic"	0.0196	"FXYD5"	"ENSG00000168010.10"	"chr19"	35155611	35156844	"annotated"	0	"ENST00000496493.5"	"MDS"
"6077"	"clu_3104_+"	6	"chr19:35155611-35157426"	"<i>FXYD5</i>"	"cryptic"	0.0196	"FXYD5"	"ENSG00000008128.22"	"chr19"	35156974	35157426	"cryptic_threeprime"	0	"."	"MDS"
"6078"	"clu_3334_+"	4	"chr19:46376574-46383784"	"<i>PPP5C</i>"	"annotated"	0.0174	"PPP5C"	"ENSG00000132153.14"	"chr19"	46383476	46383784	"annotated"	0	"ENST00000467502.6"	"MDS"
"6079"	"clu_3911_+"	5	"chr9:114587920-114597570"	"<i>ATP6V1G1</i>"	"cryptic"	0.0317	"ATP6V1G1"	"ENSG00000114850.6"	"chr9"	114588118	114592552	"annotated"	0	"ENST00000473413.1"	"MDS"
"6080"	"clu_3911_+"	5	"chr9:114587920-114597570"	"<i>ATP6V1G1</i>"	"cryptic"	0.0317	"ATP6V1G1"	"ENSG00000114850.6"	"chr9"	114587920	114597570	"novel annotated pair"	0	"ENST00000374050.3"	"MDS"
"6081"	"clu_4419_-"	10	"chr4:87372815-87390861"	"<i>HSD17B11</i>"	"cryptic"	0.001	"HSD17B11"	"ENSG00000068438.14"	"chr4"	87374824	87382255	"cryptic_threeprime"	0	"."	"MDS"
"6082"	"clu_5071_+"	15	"chr16:28835758-28836850"	"<i>ATXN2L</i>"	"cryptic"	0.00539	"ATXN2L"	"ENSG00000197136.4"	"chr16"	28836122	28836326	"novel annotated pair"	0	"."	"MDS"
"6083"	"clu_5109_+"	13	"chr16:29663080-29696996"	"<i>SPN</i>"	"cryptic"	0.0125	"SPN"	"ENSG00000178217.13"	"chr16"	29695096	29696996	"cryptic_fiveprime"	0	"."	"MDS"
"6084"	"clu_598_-"	3	"chr9:137452435-137452736"	"<i>NSMF</i>"	"cryptic"	0.0253	"NSMF"	"ENSG00000153066.12"	"chr9"	137452586	137452736	"annotated"	0	"ENST00000265663.12+ENST00000371472.6+ENST00000371473.7+ENST00000371474.7+ENST00000371475.8+ENST00000371482.5+ENST00000437259.5+ENST00000482448.1+ENST00000484316.5"	"MDS"
"6085"	"clu_6524_-"	6	"chr2:43001480-43006039"	"<i>AC016735.1</i>"	"cryptic"	0.0225	"AC016735.1"	"ENSG00000206149.10"	"chr2"	43003932	43006039	"cryptic_fiveprime"	0	"."	"MDS"
"6086"	"clu_6623_-"	5	"chr2:65089070-65104734"	"<i>RAB1A</i>"	"annotated"	0.0416	"RAB1A"	"ENSG00000268043.7"	"chr2"	65089070	65104734	"annotated"	0	"ENST00000409751.1+ENST00000409784.7+ENST00000409892.5"	"MDS"
"6087"	"clu_6765_-"	26	"chr2:95893724-95912244"	"<i>ANKRD36C</i>"	"cryptic"	8.12e-05	"ANKRD36C"	"ENSG00000145293.15"	"chr2"	95902958	95903053	"annotated"	0	"ENST00000531153.5"	"MDS"
"6088"	"clu_677_+"	9	"chrX:24071727-24076722"	"<i>EIF2S3</i>"	"cryptic"	0.0101	"EIF2S3"	"ENSG00000008130.15"	"chrX"	24071727	24076722	"novel annotated pair"	0	"ENST00000253039.8"	"MDS"
"6089"	"clu_677_+"	9	"chrX:24071727-24076722"	"<i>EIF2S3</i>"	"cryptic"	0.0101	"EIF2S3"	"ENSG00000134900.11"	"chrX"	24073263	24076200	"cryptic_threeprime"	0	"."	"MDS"
"6090"	"clu_7023_-"	15	"chr2:169810344-169824489"	"<i>METTL5</i>"	"cryptic"	4.53e-06	"METTL5"	"ENSG00000160752.14"	"chr2"	169810344	169812457	"annotated"	0	"ENST00000409837.5"	"MDS"
"6091"	"clu_7023_-"	15	"chr2:169810344-169824489"	"<i>METTL5</i>"	"cryptic"	4.53e-06	"METTL5"	"ENSG00000160752.14"	"chr2"	169811858	169815477	"novel annotated pair"	0	"ENST00000260953.9+ENST00000392640.6+ENST00000409340.5+ENST00000409965.5+ENST00000442181.5+ENST00000537825.5"	"MDS"
"6092"	"clu_7023_-"	15	"chr2:169810344-169824489"	"<i>METTL5</i>"	"cryptic"	4.53e-06	"METTL5"	"ENSG00000132182.11"	"chr2"	169821153	169821943	"cryptic_threeprime"	0	"."	"MDS"
"6093"	"clu_7359_-"	10	"chr12:6966466-6970196"	"<i>PHB2</i>"	"cryptic"	0.0257	"PHB2"	"ENSG00000204842.14"	"chr12"	6969577	6969956	"annotated"	0	"ENST00000544134.5+ENST00000545167.5"	"MDS"
"6094"	"clu_7732_-"	7	"chr12:57931737-57941639"	"<i>AC084033.3</i>"	"cryptic"	0.0117	"AC084033.3"	"ENSG00000079432.7"	"chr12"	57931737	57935395	"cryptic_fiveprime"	0	"."	"MDS"
"6095"	"clu_7732_-"	7	"chr12:57931737-57941639"	"<i>AC084033.3</i>"	"cryptic"	0.0117	"AC084033.3"	"ENSG00000173915.14"	"chr12"	57932619	57935470	"cryptic_threeprime"	0	"."	"MDS"
"6096"	"clu_7732_-"	7	"chr12:57931737-57941639"	"<i>AC084033.3</i>"	"cryptic"	0.0117	"AC084033.3"	"ENSG00000173915.14"	"chr12"	57935553	57941639	"cryptic_fiveprime"	0	"."	"MDS"
"6097"	"clu_7943_-"	3	"chr12:117046838-117049050"	"<i>TESC</i>"	"cryptic"	0.0296	"TESC"	"ENSG00000084774.13"	"chr12"	117046838	117049050	"cryptic_fiveprime"	0	"."	"MDS"
"6098"	"clu_8208_-"	7	"chr8:41655753-41663659"	"<i>ANK1</i>"	"cryptic"	0.00306	"ANK1"	"ENSG00000238121.5"	"chr8"	41655753	41661430	"annotated"	0	"ENST00000289734.11+ENST00000314214.12+ENST00000520299.5"	"MDS"
